stop_id,stop_name,stop_desc,stop_lat,stop_lon
504483,"KISSENA BLVD/QUEENS COLLEGE","KISSENA BLVD & QUEENS COLLEGE",  40.735614, -73.814866
504485,"DITMARS BLVD/102 ST","DITMARS BLVD & 102 ST",  40.768857, -73.868144
504487,"39 AV/UNION ST","39 AV & UNION ST",  40.761010, -73.827008
504493,"257 ST/JERICHO TPKE","257 ST & JERICHO TPKE",  40.728284, -73.707704
504500,"MYRTLE AV/69 ST","MYRTLE AV & 69 ST",  40.701712, -73.883016
504502,"MYRTLE AV/72 ST","MYRTLE AV & 72 ST",  40.702112, -73.878314
504505,"JERICHO TPKE/TULIP AV","JERICHO TPKE & TULIP AV",  40.727413, -73.709153
504517,"ASTORIA BLVD/77 ST","ASTORIA BLVD & 77 ST",  40.766833, -73.892401
504526,"JACKSON AV/43 AV","JACKSON AV & 43 AV",  40.747722, -73.941086
504539,"FARMERS BLVD/MERRICK BLVD","FARMERS BLVD & MERRICK BLVD",  40.679548, -73.761749
504540,"JAMAICA AV/165 ST","JAMAICA AV & 165 ST",  40.705635, -73.794763
504555,"LAKEVILLE RD/LIJ MEDICAL CENTER","LAKEVILLE RD & LIJ MEDICAL CENTER",  40.755336, -73.704361
504957,"LINDEN BLVD/GUY R BREWER BLVD","LINDEN BLVD & GUY R BREWER BLVD",  40.689148, -73.785761
504960,"LINDEN BLVD/GUY R BREWER BLVD","LINDEN BLVD & GUY R BREWER BLVD",  40.688865, -73.785952
504961,"LIBERTY AV/REMINGTON ST","LIBERTY AV & REMINGTON ST",  40.692254, -73.809347
504971,"MERRICK BLVD/233 ST","MERRICK BLVD & 233 ST",  40.675199, -73.737312
504984,"JAMAICA AV/150 ST","JAMAICA AV & 150 ST",  40.702083, -73.804513
504995,"HORACE HARDING EXPWY/231 ST","HORACE HARDING EXPWY & 231 ST",  40.751137, -73.747226
504999,"QUEENS BLVD/87 AV","QUEENS BLVD & 87 AV",  40.706644, -73.816634
505009,"QUEENS BLVD/MAIN ST","QUEENS BLVD & MAIN ST",  40.708881, -73.819009
505019,"COLLEGE POINT BLVD/20 AV","COLLEGE POINT BLVD & 20 AV",  40.781829, -73.845853
505020,"COLLEGE POINT BLVD/18 AV","COLLEGE POINT BLVD & 18 AV",  40.783350, -73.845757
505022,"COLLEGE POINT BLVD/15 AV","COLLEGE POINT BLVD & 15 AV",  40.784029, -73.845901
505032,"QUEENS BLVD/87 AV","QUEENS BLVD & 87 AV",  40.706155, -73.816825
505037,"PARSONS BLVD/20 AV","PARSONS BLVD & 20 AV",  40.782020, -73.822190
505053,"32 AV/200 ST","32 AV & 200 ST",  40.769662, -73.789383
505087,"WOODHAVEN BLVD/65 AV","WOODHAVEN BLVD & 65 AV",  40.720012, -73.864947
505093,"UNION TPKE/HEWLETT ST","UNION TPKE & HEWLETT ST",  40.752182, -73.702557
505097,"QUEENS BLVD/48 ST","QUEENS BLVD & 48 ST",  40.743184, -73.916592
505121,"39 AV/LIPPMAN PLAZA","39 AV & LIPPMAN PLAZA",  40.760668, -73.828266
505156,"ASTORIA BLVD/SOUND ST","ASTORIA BLVD & SOUND ST",  40.769014, -73.907131
505158,"QUEENS PLAZA SOUTH/28 ST","QUEENS PLAZA SOUTH & 28 ST",  40.749724, -73.938817
505192,"ROOSEVELT AV/74 ST","ROOSEVELT AV & 74 ST",  40.746819, -73.891252
505194,"QUEENS BLVD/78 AV","QUEENS BLVD & 78 AV",  40.715411, -73.832102
505213,"KISSENA BLVD/SANFORD AV","KISSENA BLVD & SANFORD AV",  40.757333, -73.827197
505227,"39 AV/MAIN ST","39 AV & MAIN ST",  40.760255, -73.830801
505228,"HOYT AV/31 ST","HOYT AV & 31 ST",  40.771427, -73.917990
505239,"DOUGLASTON PKWY/DOUGLASTON PLAZA","DOUGLASTON PKWY & DOUGLASTON PLAZA",  40.754792, -73.740814
505241,"56 AV/223 ST","56 AV & 223 ST",  40.753781, -73.756855
505246,"MYRTLE AV/71 PL","MYRTLE AV & 71 PL",  40.702164, -73.879375
505251,"FRESH POND RD/BLEECKER ST","FRESH POND RD & BLEECKER ST",  40.712160, -73.900241
505253,"METROPOLITAN AV/71 RD","METROPOLITAN AV & 71 RD",  40.710318, -73.850090
505254,"ASTORIA BLVD/STEINWAY ST","ASTORIA BLVD & STEINWAY ST",  40.768777, -73.910778
505256,"ARCHER AV/PARSONS BLVD","ARCHER AV & PARSONS BLVD",  40.702555, -73.799247
505257,"JAMAICA AV/PARSONS BLVD","JAMAICA AV & PARSONS BLVD",  40.703429, -73.799679
505261,"39 AV/MAIN ST","39 AV & MAIN ST",  40.760329, -73.829740
505264,"ARCHER AV /160 ST","ARCHER AV  & 160 ST",  40.702782, -73.798612
505290,"JACKSON AV/23 ST","JACKSON AV & 23 ST",  40.746022, -73.945489
505293,"UNION ST/NORTHERN BLVD","UNION ST & NORTHERN BLVD",  40.763782, -73.828062
505299,"SANFORD AV/BOWNE ST","SANFORD AV & BOWNE ST",  40.758250, -73.822595
505309,"JAMAICA AV/150 ST","JAMAICA AV & 150 ST",  40.702289, -73.804288
505320,"ASTORIA BLVD/21 ST","ASTORIA BLVD & 21 ST",  40.772053, -73.925479
505321,"102 ST/BROADWAY","102 ST & BROADWAY",  40.656816, -73.830535
505323,"NORTHERN BLVD/44 ST","NORTHERN BLVD & 44 ST",  40.753872, -73.918590
505327,"KISSENA BLVD/HOLLY AV","KISSENA BLVD & HOLLY AV",  40.750899, -73.819265
505329,"JAMAICA AV/161 ST","JAMAICA AV & 161 ST",  40.704163, -73.798514
505334,"ROCKAWAY BLVD/NASSAU EXPWY","ROCKAWAY BLVD & NASSAU EXPWY",  40.660599, -73.775590
505335,"ROOSEVELT AV/61 ST","ROOSEVELT AV & 61 ST",  40.745551, -73.903164
505343,"57 AV/92 ST","57 AV & 92 ST",  40.735439, -73.870368
505344,"QUEENS BLVD/HOOVER AV","QUEENS BLVD & HOOVER AV",  40.712211, -73.825392
505345,"JAMAICA AV/160 ST","JAMAICA AV & 160 ST",  40.703845, -73.799325
505352,"SEAGIRT BLVD/BEACH 29 ST","SEAGIRT BLVD & BEACH 29 ST",  40.595941, -73.762249
505359,"ROCKAWAY BEACH BLVD/BEACH 84 ST","ROCKAWAY BEACH BLVD & BEACH 84 ST",  40.587712, -73.809348
505363,"UNION TPKE/187 ST","UNION TPKE & 187 ST",  40.729079, -73.782026
550001,"EASTERN RD/BUILDING 77","EASTERN RD & BUILDING 77",  40.651180, -73.766303
550002,"EASTERN RD/BUILDING 250","EASTERN RD & BUILDING 250",  40.653236, -73.766310
550003,"NORTH BOUNDARY RD/OLD ROCKAWAY BLVD","NORTH BOUNDARY RD & OLD ROCKAWAY BLVD",  40.657451, -73.771764
550004,"ROCKAWAY BLVD/147 AV","ROCKAWAY BLVD & 147 AV",  40.660357, -73.774194
